"","male","white","black","hispanic","mompro2","poppro2","siblings","norest96","norcen96","south96","west96","height81","height85","esteem80","athlets","wage96","hgc96","daded79","momed79","age","clubnum"
"1",0,1,0,0,0,0,1,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,8,8,NA,NA
"2",0,1,0,0,0,0,8,1,0,0,0,62,62,20,0,NA,12,8,5,37,2
"3",0,1,0,0,0,0,3,0,0,0,1,NA,70,24,0,NA,12,12,10,34,0
"4",0,1,0,0,0,0,3,0,0,0,1,67,67,NA,0,14.6321067810059,14,12,11,33,0
"5",1,1,0,0,0,0,1,NA,NA,NA,NA,63,NA,23,0,NA,NA,12,12,NA,2
"6",1,1,0,0,0,0,1,0,1,0,0,64,65,27,1,14.2508144378662,16,12,12,NA,2
"7",1,1,0,0,0,0,1,1,0,0,0,65,69,26,1,10.2564105987549,12,12,12,31,1
"8",0,1,0,0,1,0,7,1,0,0,0,65,64,24,1,9.61538505554199,12,6,9,37,2
"9",1,1,0,0,0,0,4,1,0,0,0,66,65,28,1,16.6666660308838,14,10,12,32,0
"10",0,1,0,0,0,0,3,NA,NA,NA,NA,66,66,21,0,NA,NA,12,12,NA,0
"11",1,1,0,0,0,0,1,1,0,0,0,71,71,NA,0,28.8461532592773,16,12,12,36,3
"12",0,1,0,0,1,1,3,NA,NA,NA,NA,66,66,28,1,NA,NA,12,15,NA,2
"13",1,1,0,0,0,0,2,1,0,0,0,71,72,25,1,25,16,16,12,37,0
"14",0,1,0,0,0,1,2,1,0,0,0,67,67,23,1,22.9249019622803,17,12,12,32,2
"15",1,1,0,0,0,0,1,0,0,1,0,73,74,23,1,20.8791217803955,16,12,12,32,0
"16",0,1,0,0,0,0,3,1,0,0,0,63,63,25,1,26.7094020843506,13,12,12,37,0
"17",1,1,0,0,0,0,2,1,0,0,0,69,69,25,1,15.625,13,15,12,39,1
"18",1,1,0,0,0,0,2,0,0,0,1,69,66,26,1,34.1880340576172,13,16,12,38,0
"19",0,1,0,0,0,0,3,NA,NA,NA,NA,64,65,28,0,NA,NA,12,10,38,0
"20",0,1,0,0,0,1,2,1,0,0,0,64,64,23,1,20.6741580963135,16,18,12,36,0
"21",0,1,0,0,0,1,2,1,0,0,0,62,62,28,1,21.0227279663086,16,18,12,34,3
"22",0,1,0,0,0,0,1,1,0,0,0,64,64,19,1,NA,16,12,12,33,3
"23",1,1,0,0,0,0,2,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,12,12,NA,NA
"24",1,1,0,0,0,0,2,1,0,0,0,71,72,27,NA,13.3779268264771,12,12,12,35,NA
"25",0,1,0,0,0,0,1,1,0,0,0,67,67,23,0,14.4230766296387,14,16,14,36,0
"26",1,1,0,0,1,0,2,NA,NA,NA,NA,67,67,27,1,NA,NA,17,16,NA,4
"27",0,1,0,0,0,1,1,1,0,0,0,63,63,26,0,16.5,16,20,14,36,1
