Black,Hispanic,Female,Amount,MPHover,Age,OutTown,OutState,StatePol
0,0,1,,14,22,1,0,0
0,0,1,,15,43,1,0,0
0,0,1,,15,32,0,0,0
0,0,0,,13,24,1,0,0
0,0,0,,12,54,1,0,0
0,0,0,,17,30,1,0,0
0,0,1,,15,18,0,0,0
0,0,0,,15,53,0,0,0
0,0,1,,15,51,1,0,0
0,0,0,,15,33,1,0,0
0,0,0,,13,48,1,0,0
0,0,0,,11,36,1,0,0
0,0,1,,15,31,1,0,0
0,0,1,,15,45,1,0,0
0,0,1,,13,41,1,0,0
0,0,0,,13,39,1,0,0
0,0,0,50,28,22,1,0,0
0,0,0,,14,54,1,0,0
0,0,0,,12,28,1,0,0
0,0,1,,14,46,1,1,0
0,0,0,50,12,41,1,0,0
0,0,0,,15,20,0,0,0
0,0,0,,13,35,0,0,0
0,0,1,,15,19,0,0,0
0,0,0,,15,30,1,0,0
0,0,0,,15,19,0,0,0
0,0,1,,15,43,1,0,0
0,0,0,,15,29,1,0,0
0,0,0,,12,36,1,0,0
0,0,0,,14,52,1,0,0
0,0,0,,15,36,1,0,0
0,0,0,,12,18,1,0,0
0,0,0,,15,36,1,0,0
0,0,0,125,15,20,1,0,0
0,0,1,,14,46,1,0,0
0,0,1,50,21,22,1,0,0
0,0,0,,13,53,1,0,0
0,0,1,,15,37,1,0,0
0,0,1,,15,42,0,0,0
0,0,0,,15,41,1,0,0
0,0,1,,15,27,1,0,0
0,1,0,50,16,43,1,0,0
0,0,0,,13,29,1,0,0
0,0,0,,12,18,1,0,0
0,0,1,,15,20,1,0,0
0,0,1,,15,43,1,0,0
0,0,0,,15,60,1,0,0
0,0,1,,15,50,0,0,0
0,0,0,,13,39,1,0,0
0,0,0,100,15,22,1,0,0
0,0,0,,10,65,1,0,0
0,0,0,,13,28,1,0,0
0,0,1,,15,33,1,0,0
0,0,0,,13,45,1,0,0
0,0,1,175,20,60,1,0,0
0,0,1,,13,19,1,0,0
0,0,1,,15,22,1,0,0
0,0,1,,14,20,1,0,0
0,0,1,,15,28,1,0,0
0,0,0,,18,36,1,0,0
0,0,1,165,19,29,1,0,0
0,0,1,,15,41,1,0,0
1,0,0,,15,36,1,0,0
0,0,0,175,20,42,0,0,0
0,0,1,115,14,19,1,1,0
0,0,0,75,5,19,1,0,0
1,0,1,75,10,36,1,0,1
0,0,1,145,17,53,1,0,0
0,0,1,125,15,51,1,0,0
0,0,1,75,10,49,0,0,0
0,0,0,115,14,20,1,0,0
0,0,0,125,15,47,1,0,0
0,0,1,75,10,19,0,0,0
0,0,0,215,24,25,1,0,0
0,0,1,75,10,48,1,0,0
0,0,0,75,10,20,0,0,0
0,0,1,75,10,32,1,0,0
0,0,0,75,10,47,0,0,0
0,0,0,155,18,19,1,0,0
0,0,0,125,15,55,1,0,0
0,0,1,100,15,49,1,0,0
0,0,0,135,16,26,1,0,0
0,0,1,75,10,19,1,0,0
0,0,0,275,30,31,1,0,1
1,0,0,,15,21,1,0,1
0,0,1,75,10,18,1,0,0
0,0,1,75,10,41,1,0,0
0,0,0,255,28,30,1,0,0
1,0,0,75,10,25,1,0,0
0,0,0,125,15,20,1,0,0
0,0,0,125,15,18,0,0,1
0,0,0,265,29,19,1,0,0
0,0,0,175,20,50,1,1,0
0,0,1,75,10,38,1,0,0
0,0,1,115,14,50,1,0,0
0,0,0,75,10,19,0,0,0
0,0,0,175,20,25,1,0,0
0,1,0,75,10,25,1,0,0
0,0,0,75,20,38,1,0,1
0,0,1,75,10,20,1,0,0
0,0,0,75,10,24,1,0,1
0,0,0,75,10,24,1,0,0
0,0,1,75,10,45,1,0,0
0,0,0,75,10,42,1,0,0
0,0,0,75,20,18,1,0,0
0,0,1,75,10,55,1,0,0
0,0,1,75,10,19,0,0,0
0,0,0,155,18,19,1,0,0
0,0,1,75,10,44,0,0,0
0,0,1,75,10,25,1,0,1
0,0,1,75,10,20,1,1,0
0,0,0,75,10,37,1,0,0
0,0,1,125,15,32,1,0,0
0,0,0,,10,75,1,0,1
0,0,0,75,10,18,0,0,0
0,0,0,,9,20,1,0,1
0,1,0,75,10,30,1,0,0
0,0,0,75,10,18,0,0,0
0,0,0,75,10,29,1,0,0
0,0,1,75,10,25,1,0,0
0,0,0,75,10,38,1,0,0
0,0,1,75,10,33,1,1,0
0,0,0,75,10,26,1,0,0
0,0,0,75,10,27,1,1,0
0,1,0,75,10,28,0,0,1
0,0,0,125,15,64,1,0,0
0,0,0,195,22,17,0,0,0
0,0,0,75,18,17,0,0,0
0,0,0,75,10,18,0,0,0
0,0,0,75,10,24,1,1,0
0,1,0,125,15,32,1,0,0
0,0,0,325,35,42,1,0,1
0,1,0,115,14,28,1,0,0
0,0,0,135,16,36,1,0,0
0,0,1,75,10,52,0,0,0
0,0,0,75,10,46,0,0,0
0,0,0,75,10,20,1,0,0
0,1,0,325,35,20,1,0,0
0,0,0,125,15,17,0,0,0
0,0,0,75,10,23,1,1,1
0,0,0,105,13,46,1,0,0
0,0,1,125,15,18,1,0,1
0,0,0,250,30,27,1,0,0
0,0,0,125,15,55,1,0,0
0,0,0,135,16,23,1,0,0
0,0,1,125,15,21,0,0,0
0,0,1,75,10,25,1,0,0
0,0,0,75,25,30,1,0,1
0,0,0,75,10,42,1,0,0
0,0,0,225,25,17,1,0,1
0,0,0,115,26,27,1,0,1
0,0,1,75,10,36,0,0,0
0,0,0,75,10,18,1,0,0
0,0,0,125,15,59,1,0,0
0,0,0,75,10,23,1,0,0
0,0,0,75,10,32,1,0,0
0,0,0,125,15,40,1,0,0
0,0,0,75,10,46,0,0,0
0,0,0,75,20,29,1,0,0
0,0,0,75,10,22,1,1,0
0,0,0,170,22,17,0,0,0
0,0,0,180,23,29,0,0,0
0,0,1,265,29,18,1,0,0
0,0,0,140,19,32,1,0,0
0,0,0,,13,18,1,0,0
0,0,0,,17,36,1,0,0
0,0,0,,14,23,1,0,0
0,0,0,,20,36,0,0,0
0,0,0,,19,23,0,0,0
0,0,1,,16,21,1,0,0
0,0,0,75,30,19,1,0,0
0,0,1,,23,39,1,0,0
